keyword,match_type,scope,destination,intent_category,evidence,reason,confidence,approval_status,notes
indeed,broad,shared_list,Spur Auto | Universal Irrelevance,Employment,Business rule: Texas consumer total-loss appraisal only; no Search Terms data as of 2026-07-20,Employment-platform searches cannot become qualified claim reviews,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
course,broad,shared_list,Spur Auto | Universal Irrelevance,Appraisal education,Business rule: Spur Auto sells appraisal services rather than education,Exclude education-provider intent while preserving claim research,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
courses,broad,shared_list,Spur Auto | Universal Irrelevance,Appraisal education,Business rule: Spur Auto sells appraisal services rather than education,Exclude education-provider intent while preserving claim research,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
training,broad,shared_list,Spur Auto | Universal Irrelevance,Appraisal education,Business rule: Spur Auto sells appraisal services rather than education,Exclude education-provider intent while preserving claim research,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
tutorial,broad,shared_list,Spur Auto | Universal Irrelevance,Appraisal education,Business rule: Spur Auto sells appraisal services rather than education,Exclude tutorial intent while preserving other informational journeys,medium,review,Owner: Ads owner; confirm no assisted conversions before approval; rollback: remove term
tutorials,broad,shared_list,Spur Auto | Universal Irrelevance,Appraisal education,Business rule: Spur Auto sells appraisal services rather than education,Exclude tutorial intent while preserving other informational journeys,medium,review,Owner: Ads owner; confirm no assisted conversions before approval; rollback: remove term
certification,broad,shared_list,Spur Auto | Universal Irrelevance,Appraisal education,Business rule: Spur Auto sells appraisal services rather than education,Exclude credential-seeking intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
certifications,broad,shared_list,Spur Auto | Universal Irrelevance,Appraisal education,Business rule: Spur Auto sells appraisal services rather than education,Exclude credential-seeking intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
how to become an appraiser,phrase,shared_list,Spur Auto | Universal Irrelevance,Appraisal education,Business rule: Spur Auto sells appraisal services rather than education,Ordered phrase identifies career-training intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
appraiser license,phrase,shared_list,Spur Auto | Universal Irrelevance,Appraisal education,Business rule: Spur Auto sells appraisal services rather than education,Ordered phrase identifies licensing research rather than a claim,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
home appraisal,phrase,shared_list,Spur Auto | Universal Irrelevance,Wrong appraisal asset,Business rule: service covers vehicle total-loss claims only,Exclude residential appraisal intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
house appraisal,phrase,shared_list,Spur Auto | Universal Irrelevance,Wrong appraisal asset,Business rule: service covers vehicle total-loss claims only,Exclude residential appraisal intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
real estate appraisal,phrase,shared_list,Spur Auto | Universal Irrelevance,Wrong appraisal asset,Business rule: service covers vehicle total-loss claims only,Exclude real-estate appraisal intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
property appraisal,phrase,shared_list,Spur Auto | Universal Irrelevance,Wrong appraisal asset,Business rule: service covers vehicle total-loss claims only,Exclude property appraisal intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
jewelry appraisal,phrase,shared_list,Spur Auto | Universal Irrelevance,Wrong appraisal asset,Business rule: service covers vehicle total-loss claims only,Exclude jewelry appraisal intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
art appraisal,phrase,shared_list,Spur Auto | Universal Irrelevance,Wrong appraisal asset,Business rule: service covers vehicle total-loss claims only,Exclude art appraisal intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
antique appraisal,phrase,shared_list,Spur Auto | Universal Irrelevance,Wrong appraisal asset,Business rule: service covers vehicle total-loss claims only,Exclude non-vehicle antique appraisal intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
diminished value,phrase,shared_list,Spur Auto | Universal Irrelevance,Unsupported claim type,User decision: paid acquisition supports total-loss claims only,Keep diminished-value leads out of total-loss campaigns,high,review,Owner: Ads owner; revisit if a dedicated diminished-value campaign launches; rollback: remove term
pre purchase,phrase,shared_list,Spur Auto | Universal Irrelevance,Unsupported auto service,Business rule: service does not provide pre-purchase inspections,Exclude vehicle-shopping inspection intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
pre-purchase,phrase,shared_list,Spur Auto | Universal Irrelevance,Unsupported auto service,Business rule: service does not provide pre-purchase inspections,Deliberate hyphenated variant because negatives do not expand to all variants,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
car inspection,phrase,shared_list,Spur Auto | Universal Irrelevance,Unsupported auto service,Business rule: service provides valuation reports rather than vehicle inspections,Exclude inspection-shopping intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
trade in,phrase,shared_list,Spur Auto | Universal Irrelevance,Car selling,Business rule: service is not a dealer or vehicle buyer,Exclude dealer trade-in intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
trade-in,phrase,shared_list,Spur Auto | Universal Irrelevance,Car selling,Business rule: service is not a dealer or vehicle buyer,Deliberate hyphenated variant for trade-in intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
sell my car,phrase,shared_list,Spur Auto | Universal Irrelevance,Car selling,Business rule: service is not a dealer or vehicle buyer,Exclude vehicle-sale intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
cash for cars,phrase,shared_list,Spur Auto | Universal Irrelevance,Car selling,Business rule: service is not a dealer or vehicle buyer,Exclude vehicle-buyer lead intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
we buy cars,phrase,shared_list,Spur Auto | Universal Irrelevance,Car selling,Business rule: service is not a dealer or vehicle buyer,Exclude vehicle-buyer lead intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
instant car offer,phrase,shared_list,Spur Auto | Universal Irrelevance,Car selling,Business rule: service is not a dealer or vehicle buyer,Exclude instant-purchase-offer intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
car buying service,phrase,shared_list,Spur Auto | Universal Irrelevance,Car selling,Business rule: service is not a dealer or vehicle buyer,Separate Spur Auto from legacy Drive Right car-buying traffic,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
junk car,phrase,shared_list,Spur Auto | Universal Irrelevance,Car selling,Business rule: service is not a junk-vehicle buyer,Exclude junk-car disposal intent,medium,review,Owner: Ads owner; inspect full queries before approval; rollback: remove term
scrap car,phrase,shared_list,Spur Auto | Universal Irrelevance,Car selling,Business rule: service is not a scrap-vehicle buyer,Exclude scrap-car disposal intent,medium,review,Owner: Ads owner; inspect full queries before approval; rollback: remove term
home insurance,phrase,shared_list,Spur Auto | Universal Irrelevance,Wrong insurance line,Business rule: service covers private-passenger vehicle valuation only,Exclude property-insurance intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
homeowners insurance,phrase,shared_list,Spur Auto | Universal Irrelevance,Wrong insurance line,Business rule: service covers private-passenger vehicle valuation only,Exclude property-insurance intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
health insurance,phrase,shared_list,Spur Auto | Universal Irrelevance,Wrong insurance line,Business rule: service covers private-passenger vehicle valuation only,Exclude health-insurance intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
life insurance,phrase,shared_list,Spur Auto | Universal Irrelevance,Wrong insurance line,Business rule: service covers private-passenger vehicle valuation only,Exclude life-insurance intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
renters insurance,phrase,shared_list,Spur Auto | Universal Irrelevance,Wrong insurance line,Business rule: service covers private-passenger vehicle valuation only,Exclude renters-insurance intent,high,review,Owner: Ads owner; review before launch; rollback: remove term or detach list
login,broad,campaign,Search | Competitor | TX | EN,Competitor navigation,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude users trying to access a competitor account,high,review,Owner: Ads owner; rollback: remove campaign negative
log in,phrase,campaign,Search | Competitor | TX | EN,Competitor navigation,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude users trying to access a competitor account with the narrowest ordered pattern,high,review,Owner: Ads owner; narrowed from legacy broad seed; rollback: remove term
sign in,phrase,campaign,Search | Competitor | TX | EN,Competitor navigation,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude users trying to access a competitor account with the narrowest ordered pattern,high,review,Owner: Ads owner; narrowed from legacy broad seed; rollback: remove term
portal,broad,campaign,Search | Competitor | TX | EN,Competitor navigation,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude competitor portal navigation,high,review,Owner: Ads owner; rollback: remove campaign negative
dashboard,broad,campaign,Search | Competitor | TX | EN,Competitor navigation,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude competitor dashboard navigation,high,review,Owner: Ads owner; rollback: remove campaign negative
password,broad,campaign,Search | Competitor | TX | EN,Competitor navigation,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude password-help navigation,high,review,Owner: Ads owner; rollback: remove campaign negative
account,broad,campaign,Search | Competitor | TX | EN,Competitor navigation,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude competitor-account navigation,high,review,Owner: Ads owner; rollback: remove campaign negative
support,broad,campaign,Search | Competitor | TX | EN,Competitor support,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude competitor customer-support intent,high,review,Owner: Ads owner; do not reuse outside competitor campaigns; rollback: remove term
customer service,phrase,campaign,Search | Competitor | TX | EN,Competitor support,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude competitor service-contact intent with the narrowest ordered pattern,high,review,Owner: Ads owner; narrowed from legacy broad seed; rollback: remove term
phone number,phrase,campaign,Search | Competitor | TX | EN,Competitor support,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude competitor phone-number lookups,high,review,Owner: Ads owner; rollback: remove campaign negative
stock,broad,campaign,Search | Competitor | TX | EN,Corporate research,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude investor intent,high,review,Owner: Ads owner; rollback: remove campaign negative
stocks,broad,campaign,Search | Competitor | TX | EN,Corporate research,Existing campaign seed dated 2026-07-18; no Search Terms data,Deliberate plural variant for investor intent,high,review,Owner: Ads owner; rollback: remove campaign negative
investor,broad,campaign,Search | Competitor | TX | EN,Corporate research,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude investor intent,high,review,Owner: Ads owner; rollback: remove campaign negative
investors,broad,campaign,Search | Competitor | TX | EN,Corporate research,Existing campaign seed dated 2026-07-18; no Search Terms data,Deliberate plural variant for investor intent,high,review,Owner: Ads owner; rollback: remove campaign negative
funding,broad,campaign,Search | Competitor | TX | EN,Corporate research,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude corporate funding research,high,review,Owner: Ads owner; rollback: remove campaign negative
revenue,broad,campaign,Search | Competitor | TX | EN,Corporate research,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude corporate revenue research,high,review,Owner: Ads owner; rollback: remove campaign negative
ceo,broad,campaign,Search | Competitor | TX | EN,Corporate research,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude executive research,high,review,Owner: Ads owner; rollback: remove campaign negative
acquisition,broad,campaign,Search | Competitor | TX | EN,Corporate research,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude merger and acquisition research,high,review,Owner: Ads owner; rollback: remove campaign negative
crunchbase,broad,campaign,Search | Competitor | TX | EN,Corporate research,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude corporate-profile research,high,review,Owner: Ads owner; rollback: remove campaign negative
download,broad,campaign,Search | Competitor | TX | EN,Competitor files,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude competitor file-download navigation,medium,review,Owner: Ads owner; keep sample and template unblocked; rollback: remove term
torrent,broad,campaign,Search | Competitor | TX | EN,Piracy,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude piracy intent,high,review,Owner: Ads owner; rollback: remove campaign negative
crack,broad,campaign,Search | Competitor | TX | EN,Piracy,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude piracy intent,high,review,Owner: Ads owner; rollback: remove campaign negative
resale value,phrase,campaign,Search | Competitor | TX | EN,Unsupported valuation,Existing campaign seed dated 2026-07-18; no Search Terms data,Keep competitor pilot focused on total-loss service evaluation,medium,review,Owner: Ads owner; inspect full queries before approval; rollback: remove term
real estate,phrase,campaign,Search | Competitor | TX | EN,Wrong appraisal asset,Existing campaign seed dated 2026-07-18; no Search Terms data,Exclude real-estate meaning in competitor appraisal traffic,high,review,Owner: Ads owner; rollback: remove campaign negative
autoacv,broad,campaign,TX | Search | Total Loss Review | Leads,Route to competitor campaign,Live UI 2026-07-20: competitor campaign Eligible Limited; generic campaign Pending,Route competitor-brand searches to the controlled competitor campaign,medium,review,Gate: destination enabled funded Texas-aligned and eligible; rollback: remove term
auto acv,phrase,campaign,TX | Search | Total Loss Review | Leads,Route to competitor campaign,Live UI 2026-07-20: competitor campaign Eligible Limited; generic campaign Pending,Deliberate spaced variant for AutoACV brand routing,medium,review,Gate: destination enabled funded Texas-aligned and eligible; rollback: remove term
totalloss,broad,campaign,TX | Search | Total Loss Review | Leads,Route to competitor campaign,Live UI 2026-07-20: competitor campaign Eligible Limited; generic campaign Pending,Route the single-token TotalLoss.com brand while preserving generic two-word total loss,medium,review,Gate: destination enabled funded Texas-aligned and eligible; rollback: remove term
total loss dot com,phrase,campaign,TX | Search | Total Loss Review | Leads,Route to competitor campaign,Live UI 2026-07-20: competitor campaign Eligible Limited; generic campaign Pending,Route spoken-domain variant without using an ignored period,medium,review,Gate: destination enabled funded Texas-aligned and eligible; rollback: remove term
totallossappraiser,broad,campaign,TX | Search | Total Loss Review | Leads,Route to competitor campaign,Live UI 2026-07-20: competitor campaign Eligible Limited; generic campaign Pending,Route the single-token TotalLossAppraiser.net brand while preserving generic phrases,medium,review,Gate: destination enabled funded Texas-aligned and eligible; rollback: remove term
total loss appraiser net,phrase,campaign,TX | Search | Total Loss Review | Leads,Route to competitor campaign,Live UI 2026-07-20: competitor campaign Eligible Limited; generic campaign Pending,Route spoken-domain variant to the competitor campaign,medium,review,Gate: destination enabled funded Texas-aligned and eligible; rollback: remove term
dallas auto appraisers,phrase,campaign,TX | Search | Total Loss Review | Leads,Route to competitor campaign,Live UI 2026-07-20: competitor campaign Eligible Limited; generic campaign Pending,Route Dallas Auto Appraisers brand searches,medium,review,Gate: destination enabled funded Texas-aligned and eligible; rollback: remove term
select auto appraisals,phrase,campaign,TX | Search | Total Loss Review | Leads,Route to competitor campaign,Live UI 2026-07-20: receiving ad group is paused,Hold routing until the Select Auto Appraisals destination is enabled and eligible,medium,review,Gate: destination ad group enabled funded Texas-aligned and eligible; rollback: remove term
collision claims advisors,phrase,campaign,TX | Search | Total Loss Review | Leads,Route to competitor campaign,Live UI 2026-07-20: receiving ad group is paused,Hold routing until the Collision Claims Advisors destination is enabled and eligible,medium,review,Gate: destination ad group enabled funded Texas-aligned and eligible; rollback: remove term
