Campaign,Ad group,Keyword,Match type,Status,Max CPC,Final URL,Intent,Wave
Search | Competitor | TX | EN,AutoACV | Evaluation,autoacv alternative,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=autoacv_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,1
Search | Competitor | TX | EN,Dallas Auto Appraisers | Evaluation,dallas auto appraisers total loss,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=dallas_auto_appraisers_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Category,1
Search | Competitor | TX | EN,Dallas Auto Appraisers | Evaluation,dallas auto appraisers alternative,Phrase,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=dallas_auto_appraisers_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,1
Search | Competitor | TX | EN,Dallas Auto Appraisers | Evaluation,dallas auto appraisers reviews,Phrase,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=dallas_auto_appraisers_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,1
Search | Competitor | TX | EN,Dallas Auto Appraisers | Evaluation,switch from dallas auto appraisers,Exact,Enabled,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=dallas_auto_appraisers_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Switch,1
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals alternative,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals reviews,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals pricing,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals cost,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals competitors,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Comparison,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals total loss,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Category,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals alternative,Phrase,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,select auto appraisals reviews,Phrase,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,2
Search | Competitor | TX | EN,Select Auto Appraisals | Evaluation,switch from select auto appraisals,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=select_auto_appraisals_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Switch,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors alternative,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors reviews,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors pricing,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors cost,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Pricing,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors competitors,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Comparison,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors total loss,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Category,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors alternative,Phrase,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Alternative,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,collision claims advisors reviews,Phrase,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Review,2
Search | Competitor | TX | EN,Collision Claims Advisors | Evaluation,switch from collision claims advisors,Exact,Paused,2.50,https://www.spurauto.com/compare-total-loss-appraisal-services.html?utm_source=google&utm_medium=cpc&utm_campaign=competitor_tx&utm_content=collision_claims_advisors_evaluation&utm_term={keyword}&network={network}&device={device}&matchtype={matchtype},Switch,2

